Date,Timestamp,Volume,Open,High,Low,Close,EURUSD
20190204,17:15:00,1315.04999577999,1.1437,1.14372,1.14347,1.14352,EURUSD,
20190204,17:20:00,1798.89999914169,1.14352,1.14352,1.14327,1.14338,EURUSD,
20190204,17:25:00,1170.28999650478,1.14339,1.14344,1.14321,1.14336,EURUSD,
20190204,17:30:00,1109.96999382973,1.14337,1.14339,1.14324,1.14335,EURUSD,
20190204,17:35:00,1300.1699962616,1.14334,1.14359,1.14334,1.14349,EURUSD,
20190204,17:40:00,1049.14999902248,1.14349,1.14351,1.14317,1.14343,EURUSD,
20190204,17:45:00,1995.61998832226,1.14344,1.1435,1.14333,1.14334,EURUSD,
20190204,17:50:00,1526.63999080658,1.14335,1.14336,1.14296,1.14296,EURUSD,
20190204,17:55:00,1840.93998587132,1.14297,1.14327,1.14296,1.14312,EURUSD,
20190204,18:00:00,2270.96999752522,1.14312,1.14315,1.14264,1.14311,EURUSD,
20190204,18:05:00,1223.41999566555,1.14309,1.14336,1.14309,1.14326,EURUSD,
20190204,18:10:00,992.959999203682,1.14325,1.14338,1.14325,1.14333,EURUSD,
20190204,18:15:00,1491.34999525547,1.14333,1.14343,1.14326,1.14326,EURUSD,
20190204,18:20:00,977.910000443459,1.14326,1.14331,1.14311,1.14318,EURUSD,
20190204,18:25:00,876.909997940063,1.1432,1.14338,1.14317,1.14335,EURUSD,
20190204,18:30:00,2015.39000082016,1.14335,1.14347,1.14329,1.14338,EURUSD,
20190204,18:35:00,1379.97000014782,1.14339,1.14342,1.14301,1.14301,EURUSD,
20190204,18:40:00,1263.60999441147,1.14302,1.14317,1.1429,1.14298,EURUSD,
20190204,18:45:00,1243.59999811649,1.14298,1.14308,1.14289,1.14306,EURUSD,
20190204,18:50:00,1322.61000025272,1.14306,1.1433,1.14304,1.14325,EURUSD,
20190204,18:55:00,1025.96999514103,1.14325,1.14328,1.14313,1.14322,EURUSD,
20190204,19:00:00,1324.40999877453,1.14321,1.14335,1.14305,1.14331,EURUSD,
20190204,19:05:00,1000.04999923706,1.1433,1.14341,1.14322,1.14338,EURUSD,
20190204,19:10:00,1046.61999809742,1.14338,1.14357,1.14333,1.14356,EURUSD,
20190204,19:15:00,1499.119992733,1.14355,1.14357,1.14329,1.14334,EURUSD,
20190204,19:20:00,1329.24999558926,1.14333,1.14336,1.14322,1.14333,EURUSD,
20190204,19:25:00,795.569994688034,1.14333,1.14336,1.14329,1.14331,EURUSD,
20190204,19:30:00,699.479999303818,1.14332,1.14336,1.14321,1.14325,EURUSD,
20190204,19:35:00,725.579998612404,1.14326,1.14333,1.14324,1.14332,EURUSD,
20190204,19:40:00,914.369995236397,1.14332,1.14336,1.14316,1.14323,EURUSD,
20190204,19:45:00,960.699993252754,1.14322,1.1434,1.14322,1.14326,EURUSD,
20190204,19:50:00,1108.0299975872,1.14326,1.14338,1.14316,1.14319,EURUSD,
20190204,19:55:00,1602.04999625683,1.14321,1.14326,1.14306,1.14312,EURUSD,
20190204,20:00:00,1254.68999505043,1.14311,1.14328,1.14311,1.14327,EURUSD,
20190204,20:05:00,1175.66999840736,1.14327,1.14337,1.14326,1.14331,EURUSD,
20190204,20:10:00,1223.78000211716,1.14331,1.14335,1.14325,1.14331,EURUSD,
20190204,20:15:00,814.729996442795,1.14331,1.14339,1.14331,1.14337,EURUSD,
20190204,20:20:00,1243.95999872684,1.14337,1.14344,1.14331,1.14343,EURUSD,
20190204,20:25:00,1073.21999311447,1.14343,1.14344,1.14336,1.14338,EURUSD,
20190204,20:30:00,812.730001330376,1.14338,1.14346,1.14332,1.14341,EURUSD,
20190204,20:35:00,850.120000123978,1.1434,1.14344,1.14331,1.14338,EURUSD,
20190204,20:40:00,1207.58999609947,1.14337,1.1435,1.14337,1.14341,EURUSD,
20190204,20:45:00,1103.5799959898,1.14342,1.14346,1.14326,1.14331,EURUSD,
20190204,20:50:00,1191.56999540329,1.14331,1.14334,1.14322,1.14325,EURUSD,
20190204,20:55:00,1784.79999172688,1.14326,1.14344,1.14325,1.14343,EURUSD,
20190204,21:00:00,474.909997940063,1.14344,1.14352,1.14336,1.14339,EURUSD,
20190204,21:05:00,471.199997246265,1.14337,1.14351,1.14336,1.14347,EURUSD,
20190204,21:10:00,257.439998030663,1.1435,1.14354,1.14348,1.14354,EURUSD,
20190204,21:15:00,281.539998412132,1.14353,1.1436,1.14349,1.14349,EURUSD,
20190204,21:20:00,225.359998941422,1.14349,1.14351,1.14343,1.14343,EURUSD,
20190204,21:25:00,624.959997035563,1.14344,1.14358,1.14335,1.14353,EURUSD,
20190204,21:30:00,577.789997696877,1.14353,1.14354,1.14347,1.14353,EURUSD,
20190204,21:35:00,336.909999370575,1.14354,1.14363,1.14353,1.14358,EURUSD,
20190204,21:40:00,301.849998950958,1.14358,1.14368,1.14358,1.14361,EURUSD,
20190204,21:45:00,208.009999036789,1.14361,1.14363,1.14345,1.14346,EURUSD,
20190204,21:50:00,376.709999680519,1.14346,1.14361,1.14343,1.14356,EURUSD,
20190204,21:55:00,623.000001549721,1.14356,1.14372,1.14344,1.14353,EURUSD,
20190204,22:00:00,54.5600001215935,1.14353,1.14371,1.14348,1.14371,EURUSD,
20190204,22:05:00,210.700000047684,1.14371,1.14375,1.14356,1.14371,EURUSD,
20190204,22:10:00,685.429998397827,1.14371,1.14371,1.14353,1.14363,EURUSD,
20190204,22:15:00,269.760001063347,1.14363,1.14363,1.1435,1.14362,EURUSD,
20190204,22:20:00,98.9599989652634,1.14362,1.14364,1.14352,1.1436,EURUSD,
20190204,22:25:00,192.749999165535,1.14374,1.14374,1.14359,1.14361,EURUSD,
20190204,22:30:00,299.149999856949,1.1436,1.14362,1.14352,1.1436,EURUSD,
20190204,22:35:00,165.42999958992,1.14359,1.14363,1.14354,1.14358,EURUSD,
20190204,22:40:00,275.339999437332,1.14359,1.14366,1.14357,1.14359,EURUSD,
20190204,22:45:00,486.989998579025,1.14359,1.1436,1.14343,1.14345,EURUSD,
20190204,22:50:00,212.629999399185,1.14346,1.14362,1.14344,1.14352,EURUSD,
20190204,22:55:00,211.449999928474,1.14353,1.14357,1.14348,1.1435,EURUSD,
20190204,23:00:00,731.329999089241,1.14352,1.14367,1.14345,1.14352,EURUSD,
20190204,23:05:00,509.049999117851,1.14352,1.14356,1.14348,1.1435,EURUSD,
20190204,23:10:00,323.979997396469,1.1435,1.14352,1.14345,1.14349,EURUSD,
20190204,23:15:00,606.039999246597,1.14349,1.14355,1.14344,1.14354,EURUSD,
20190204,23:20:00,516.140001416206,1.14354,1.14355,1.14344,1.1435,EURUSD,
